show processes memory
Tue Jun 10 04:35:31 2025
  Module location  Process                            Allocated, kB  Used, kB  Used, %  
  ---------------- ---------------------------------- -------------- --------- -------- 
  0/ME5100         pp-manager                         2212864        529344    6.58     
  0/ME5100         clish                              1729408        328064    4.08     
  0/ME5100         clish(console)                     1729408        328064    4.08     
  0/ME5100         mapper                             1354368        188224    2.34     
  0/ME5100         if-manager                         856512         25792     0.321    
  0/ME5100         netconfd                           632512         192384    2.39     
  0/ME5100         dcsi                               602496         177344    2.21     
  0/ME5100         top-mgr                            568320         10240     0.127    
  0/ME5100         syslog                             515008         14784     0.184    
  0/ME5100         system-monitor                     427968         6720      0.0836   
  0/ME5100         fw-manager                         345664         7424      0.0923   
  0/ME5100         snmpd                              297920         24576     0.306    
  0/ME5100         route-manager                      274240         5888      0.0732   
  0/ME5100         igmp-manager                       271232         4352      0.0541   
  0/ME5100         fs-mgr                             271168         4096      0.051    
  0/ME5100         service-manager                    271040         7360      0.0916   
  0/ME5100         bd-manager                         270720         4032      0.0502   
  0/ME5100         192.168.16.115-mgmt-intf#syslog    243648         12032     0.15     
  0/ME5100         alarm-manager                      209472         5952      0.074    
  0/ME5100         dhcp-manager                       200512         9344      0.116    
  0/ME5100         sync-manager                       197120         4096      0.051    
  0/ME5100         vrrp-manager                       197056         3840      0.0478   
  0/ME5100         sla-manager                        196736         3904      0.0486   
  0/ME5100         udld                               196672         5504      0.0685   
  0/ME5100         ipc-hub                            183424         3392      0.0422   
  0/ME5100         clish(192.168.16.112)              19456          10560     0.131    
  0/ME5100         clish(console)                     19456          10560     0.131    
  0/ME5100         mgmt-intf#ssh                      10304          6528      0.0812   
  0/ME5100         mgmt-intf#telnet                   8512           5696      0.0709   
  0/ME5100         ntp                                6592           4352      0.0541   
