show process cpu
Tue Jun 10 04:35:32 2025
  CPU utilization per board:
  1Min     5Min     15Min    Unit       
  -------- -------- -------- ---------- 
  2.47%    3.27%    3.00%    0/ME5100   
  
  CPU utilization per process:
  1Min     5Min     15Min    Unit       Process 
  -------- -------- -------- ---------- -------- 
  1.50%    1.53%    1.56%    0/ME5100   pp-manager 
  0.02%    0.02%    0.02%    0/ME5100   system-monitor 
  0.00%    0.00%    0.00%    0/ME5100   if-manager 
  0.00%    0.02%    0.01%    0/ME5100   top-mgr 
  0.00%    0.00%    0.00%    0/ME5100   ipc-hub 
  0.00%    0.00%    0.00%    0/ME5100   alarm-manager 
  0.00%    0.00%    0.00%    0/ME5100   route-manager 
  0.00%    0.00%    0.00%    0/ME5100   bd-manager 
  0.00%    0.00%    0.00%    0/ME5100   service-manager 
  0.00%    0.00%    0.00%    0/ME5100   dcsi 
  0.00%    0.00%    0.05%    0/ME5100   mapper 
  0.00%    0.00%    0.00%    0/ME5100   fw-manager 
  0.00%    0.00%    0.00%    0/ME5100   udld 
  0.00%    0.00%    0.00%    0/ME5100   dhcp-manager 
  0.00%    0.00%    0.00%    0/ME5100   vrrp-manager 
  0.00%    0.00%    0.00%    0/ME5100   sla-manager 
  0.00%    0.00%    0.00%    0/ME5100   fs-mgr 
  0.00%    0.00%    0.00%    0/ME5100   igmp-manager 
  0.00%    0.00%    0.00%    0/ME5100   sync-manager 
  0.00%    0.08%    0.05%    0/ME5100   netconfd 
  0.00%    0.00%    0.13%    0/ME5100   clish 
  0.00%    0.00%    0.13%    0/ME5100   clish(console) 
  0.00%    0.00%    0.00%    0/ME5100   syslog 
  0.00%    0.00%    0.00%    0/ME5100   ntp 
  0.00%    0.00%    0.00%    0/ME5100   snmpd 
  0.00%    -        -        0/ME5100   MGN#ssh 
  0.00%    -        -        0/ME5100   MGN#telnet 
  -        -        -        0/ME5100   clish(192.168.16.112) 
