show processes memory
Tue Jun 10 04:35:30 2025
  Module location  Process                  Allocated, kB  Used, kB  Used, %  
  ---------------- ------------------------ -------------- --------- -------- 
  0/ME5100         pp-manager               2212864        529344    6.58     
  0/ME5100         clish                    1717696        324416    4.04     
  0/ME5100         clish(console)           1717696        324416    4.04     
  0/ME5100         mapper                   1354432        186496    2.32     
  0/ME5100         if-manager               856512         25920     0.322    
  0/ME5100         netconfd                 640960         211008    2.62     
  0/ME5100         dcsi                     602624         177536    2.21     
  0/ME5100         top-mgr                  568320         10176     0.127    
  0/ME5100         syslog                   449472         14784     0.184    
  0/ME5100         system-monitor           427968         6720      0.0836   
  0/ME5100         fw-manager               345664         7424      0.0923   
  0/ME5100         snmpd                    297920         24576     0.306    
  0/ME5100         route-manager            274240         5888      0.0732   
  0/ME5100         igmp-manager             271232         4352      0.0541   
  0/ME5100         fs-mgr                   271168         4096      0.051    
  0/ME5100         service-manager          271040         7168      0.0892   
  0/ME5100         bd-manager               270720         4096      0.051    
  0/ME5100         alarm-manager            209472         5952      0.074    
  0/ME5100         dhcp-manager             200512         9280      0.115    
  0/ME5100         sync-manager             197120         4096      0.051    
  0/ME5100         vrrp-manager             197056         3840      0.0478   
  0/ME5100         sla-manager              196736         3840      0.0478   
  0/ME5100         udld                     196672         5504      0.0685   
  0/ME5100         ipc-hub                  183424         3392      0.0422   
  0/ME5100         clish(192.168.16.112)    19456          10624     0.132    
  0/ME5100         ssh                      10304          2560      0.0318   
  0/ME5100         telnet                   8512           5504      0.0685   
  0/ME5100         ntp                      6592           4416      0.0549   
