"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2020","В данном тесте будем  проверять вывод комнады show lldp statistic","function_autotests.part003","Tue Jun 10 11:37:13 GMT+07:00 2025","passed","Tue Jun 10 11:37:15 GMT+07:00 2025","","test_0003_part3","",""
"","1021","В данном тесте будем проверять вывод команды show interface status","function_autotests.part002","Tue Jun 10 11:25:48 GMT+07:00 2025","passed","Tue Jun 10 11:25:49 GMT+07:00 2025","","test_0011_part2","",""
"","41218","В данном тесте будем проверять частоту обновления arp-таблицы","function_autotests.part002","Tue Jun 10 11:26:18 GMT+07:00 2025","passed","Tue Jun 10 11:26:59 GMT+07:00 2025","","test_0017_part2","",""
"","6247","Загрузка конфигурации на ME маршрутизатор","function_autotests.part001","Tue Jun 10 11:19:04 GMT+07:00 2025","passed","Tue Jun 10 11:19:10 GMT+07:00 2025","","test_0001_part1","",""
"","669","Проверка вывода команды show route isis ipv6","function_autotests.part004.part004.02","Tue Jun 10 11:41:24 GMT+07:00 2025","passed","Tue Jun 10 11:41:24 GMT+07:00 2025","","test_0007_part4_2","",""
"","1287","В данном тесте будем проверять функционал ARP","function_autotests.part002","Tue Jun 10 11:26:15 GMT+07:00 2025","passed","Tue Jun 10 11:26:17 GMT+07:00 2025","","test_0016_part2","",""
"","738","Проверка вывода команды show route isis при включённом функционале LFA","function_autotests.part004.part004.04","Tue Jun 10 11:44:40 GMT+07:00 2025","passed","Tue Jun 10 11:44:41 GMT+07:00 2025","","test_0003_part4_4","",""
"","1050","В данном тесте проверяется show processes memory","function_autotests.part002","Tue Jun 10 11:35:28 GMT+07:00 2025","passed","Tue Jun 10 11:35:29 GMT+07:00 2025","","test_0023_part2","",""
"","696","В данном тесте будем проверять вывод команды show interface description","function_autotests.part002","Tue Jun 10 11:25:47 GMT+07:00 2025","passed","Tue Jun 10 11:25:48 GMT+07:00 2025","","test_0010_part2","",""
"","8822","Загрузка конфигурации на ME маршрутизатор","function_autotests.part003","Tue Jun 10 11:36:37 GMT+07:00 2025","passed","Tue Jun 10 11:36:46 GMT+07:00 2025","","test_0001_part3","",""
"","170943","Проверка балансировки IGP: OSPF трафика между интерфейсами с отключением интерфейсов","function_autotests.part021.part021.2","Tue Jun 10 12:24:52 GMT+07:00 2025","passed","Tue Jun 10 12:27:43 GMT+07:00 2025","","test_0005_part21_2","",""
"","9697","Проверка базового функционала ECMP","function_autotests.part021.part021.2","Tue Jun 10 12:22:30 GMT+07:00 2025","passed","Tue Jun 10 12:22:39 GMT+07:00 2025","","test_0003_part21_2","",""
"","3661","Загрузка конфигурации на ME маршрутизатор","function_autotests.part000","Tue Jun 10 11:16:21 GMT+07:00 2025","passed","Tue Jun 10 11:16:25 GMT+07:00 2025","","test_0001_part0","",""
"","907","Проверка вывода команды show mpls ldp binding local","function_autotests.part004.part004.06","Tue Jun 10 11:46:47 GMT+07:00 2025","passed","Tue Jun 10 11:46:48 GMT+07:00 2025","","test_0003_part4_6","",""
"","41028","Проверка балансировки IGP: ISIS трафика между интерфейсами","function_autotests.part021.part021.1","Tue Jun 10 12:05:59 GMT+07:00 2025","passed","Tue Jun 10 12:06:40 GMT+07:00 2025","","test_0004_part21_1","",""
"","6370","Загрузка конфигурации на ME маршрутизатор","function_autotests.part002","Tue Jun 10 11:24:34 GMT+07:00 2025","passed","Tue Jun 10 11:24:41 GMT+07:00 2025","","test_0001_part2","",""
"","7","В данном тесте будем проверять вывод команды snmpwalk при взаимодействии с маршрутизатором ME","function_autotests.part002","Tue Jun 10 11:25:26 GMT+07:00 2025","passed","Tue Jun 10 11:25:26 GMT+07:00 2025","","test_0005_part2","",""
"","2448","Выполнение команды lfa protection disable на интерфейсе bu1 и проверка вывода команды show route isis","function_autotests.part004.part004.04","Tue Jun 10 11:44:45 GMT+07:00 2025","passed","Tue Jun 10 11:44:47 GMT+07:00 2025","","test_0004_part4_4","",""
"","706","В данном тесте будем проверять вывод команды show system","function_autotests.part002","Tue Jun 10 11:25:38 GMT+07:00 2025","passed","Tue Jun 10 11:25:39 GMT+07:00 2025","","test_0006_part2","",""
"","13239","Загрузка конфигурации на ME маршрутизатор","function_autotests.part004.part004.02","Tue Jun 10 11:38:37 GMT+07:00 2025","passed","Tue Jun 10 11:38:50 GMT+07:00 2025","","test_0001_part4_2","",""
