show processes memory
Mon Jun 16 09:33:35 2025
  Module location  Process                  Allocated, kB  Used, kB  Used, %  
  ---------------- ------------------------ -------------- --------- -------- 
  0/ME5100         pp-manager               2212864        529344    6.58     
  0/ME5100         clish                    1791488        326144    4.06     
  0/ME5100         clish(console)           1791488        326144    4.06     
  0/ME5100         mapper                   1354176        190144    2.37     
  0/ME5100         if-manager               856512         25536     0.318    
  0/ME5100         netconfd                 635904         205824    2.56     
  0/ME5100         dcsi                     602944         177920    2.21     
  0/ME5100         top-mgr                  568320         10240     0.127    
  0/ME5100         system-monitor           427968         6656      0.0828   
  0/ME5100         syslog                   383936         14336     0.178    
  0/ME5100         fw-manager               345664         7296      0.0908   
  0/ME5100         snmpd                    291520         18176     0.226    
  0/ME5100         route-manager            274240         5888      0.0732   
  0/ME5100         igmp-manager             271232         4352      0.0541   
  0/ME5100         fs-mgr                   271168         4096      0.051    
  0/ME5100         service-manager          271040         7168      0.0892   
  0/ME5100         bd-manager               270720         4096      0.051    
  0/ME5100         alarm-manager            209472         5952      0.074    
  0/ME5100         dhcp-manager             200512         9344      0.116    
  0/ME5100         sync-manager             197120         4096      0.051    
  0/ME5100         vrrp-manager             197056         3840      0.0478   
  0/ME5100         sla-manager              196736         3840      0.0478   
  0/ME5100         udld                     196672         5504      0.0685   
  0/ME5100         ipc-hub                  183360         3392      0.0422   
  0/ME5100         clish(console)           19456          10560     0.131    
  0/ME5100         clish(192.168.16.112)    19456          10560     0.131    
  0/ME5100         ssh                      10304          5696      0.0709   
  0/ME5100         telnet                   8512           5504      0.0685   
  0/ME5100         ntp                      6592           4352      0.0541   
