show processes memory
Tue Jun 10 04:35:29 2025
  Module location  Process                  Allocated, kB  Used, kB  Used, %  
  ---------------- ------------------------ -------------- --------- -------- 
  0/ME5100         pp-manager               2212864        530112    6.59     
  0/ME5100         clish                    1742784        350272    4.36     
  0/ME5100         clish(console)           1742784        350272    4.36     
  0/ME5100         mapper                   1353856        188608    2.35     
  0/ME5100         if-manager               856512         25728     0.32     
  0/ME5100         netconfd                 642432         212480    2.64     
  0/ME5100         dcsi                     603840         178752    2.22     
  0/ME5100         top-mgr                  568320         10240     0.127    
  0/ME5100         syslog                   515008         14912     0.185    
  0/ME5100         system-monitor           427968         6720      0.0836   
  0/ME5100         fw-manager               345664         7488      0.0931   
  0/ME5100         snmpd                    298048         24704     0.307    
  0/ME5100         route-manager            274240         5952      0.074    
  0/ME5100         igmp-manager             271232         4416      0.0549   
  0/ME5100         fs-mgr                   271168         4096      0.051    
  0/ME5100         service-manager          271040         7360      0.0916   
  0/ME5100         bd-manager               270720         4032      0.0502   
  0/ME5100         alarm-manager            209472         5952      0.074    
  0/ME5100         dhcp-manager             200512         9280      0.115    
  0/ME5100         sync-manager             197120         4096      0.051    
  0/ME5100         vrrp-manager             197056         3840      0.0478   
  0/ME5100         sla-manager              196736         3840      0.0478   
  0/ME5100         udld                     196672         5504      0.0685   
  0/ME5100         ipc-hub                  183424         3392      0.0422   
  0/ME5100         clish(192.168.16.112)    19456          10560     0.131    
  0/ME5100         MGN#ssh                  10304          2560      0.0318   
  0/ME5100         MGN#telnet               8512           5504      0.0685   
  0/ME5100         ntp                      6592           4352      0.0541   
